"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合（A1101/A1101(全国)）【％】","#A01102_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）（A110101/A110102）【‐】","#A02102_人口性比（15歳未満人口）(A130101/A130102)【‐】","#A02103_人口性比（15〜64歳人口）(A130201/A130202)【‐】","#A02104_人口性比（65歳以上人口) (A130301/A130302)【‐】","#A02105_人口性比（総数）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15〜64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率（（A1101/A1101（-1））-1）【％】","#A05111_人口増減率【‰】","#A05201_自然増減率（（A4101-A4200）/A1101）【％】","#A05221_自然増減率【‰】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0〜4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率【％】","#A05308_転入率【％】","#A05309_転出率【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】","#A06603_婚姻率（人口千人当たり）【‐】","#A06604_離婚率（人口千人当たり）【‐】"
"2017100000","","2017年度","28000","","兵庫県","","552","263","289","4.35","***","656.5","1,981.7","5,443,224","5,306,083","5,139,095","4,948,778","4,742,647","4,532,499","91.1","105.0","96.3","76.2","***","21.3","47.9","69.2","225.1","12.6","59.1","28.3","-0.20","***","-0.27","***","7.54","1.47","10.26","11.07","9.52","0.43","32.87","-0.12","1.55","1.67","-0.11","1.68","1.79","4.62","1.65","4.7","1.68"
"2017100000","","2017年度","29000","","奈良県","","135","64","71","1.06","***","365.5","1,576.8","1,320,075","1,264,574","1,202,479","1,135,578","1,066,267","998,076","89.2","103.8","93.0","77.4","***","21.0","52.6","73.6","250.3","12.1","57.6","30.3","-0.59","***","-0.41","***","6.65","1.33","10.74","11.55","10.02","0.67","32.39","-0.26","1.72","1.97","-0.26","1.81","2.07","4.07","1.52","4.1","1.54"
"2017100000","","2017年度","30000","","和歌山県","","95","45","50","0.75","***","200.7","850.2","921,152","875,553","829,087","781,816","734,325","688,031","88.8","103.6","95.9","72.7","***","21.2","57.5","78.6","271.4","11.8","55.9","32.2","-0.84","***","-0.67","***","6.82","1.52","13.47","14.21","12.81","0.47","38.43","-0.37","1.13","1.50","-0.35","1.21","1.56","4.26","1.81","4.3","1.83"
"2017100000","","2017年度","31000","","鳥取県","","57","27","30","0.45","***","161.4","628.3","556,367","536,747","516,255","494,893","472,156","448,529","91.2","105.7","101.3","71.6","***","22.6","55.0","77.7","243.1","12.7","56.3","31.0","-0.70","***","-0.57","***","7.61","1.66","13.31","13.69","12.98","0.41","39.26","-0.26","1.50","1.77","-0.24","1.58","1.82","4.27","1.58","4.3","1.60"
"2017100000","","2017年度","32000","","島根県","","69","33","36","0.54","***","102.4","528.9","669,797","642,787","615,424","587,556","558,290","528,988","92.7","104.9","104.4","72.9","***","23.0","62.2","85.1","270.6","12.4","54.1","33.6","-0.58","***","-0.67","***","7.44","1.72","14.11","13.93","14.32","0.44","39.11","-0.22","1.44","1.66","-0.22","1.61","1.83","3.87","1.51","3.9","1.53"
"2017100000","","2017年度","33000","","岡山県","","191","92","99","1.51","***","268.6","861.3","1,889,729","1,846,230","1,796,872","1,741,517","1,681,383","1,620,031","92.3","105.9","99.8","75.0","***","22.2","51.7","73.8","233.3","12.8","57.5","29.7","-0.31","***","-0.35","***","7.80","1.54","11.31","11.74","10.91","0.41","35.02","-0.11","1.44","1.56","-0.17","1.55","1.73","4.62","1.70","4.7","1.72"
"2017100000","","2017年度","34000","","広島県","","283","137","146","2.23","***","334.1","1,225.8","2,814,088","2,758,220","2,689,284","2,609,116","2,520,520","2,428,818","94.0","104.4","102.6","75.5","***","22.3","49.0","71.2","219.8","13.0","58.4","28.6","-0.25","***","-0.31","***","7.82","1.56","10.87","11.25","10.51","0.54","34.69","-0.11","1.61","1.73","-0.20","1.71","1.92","4.65","1.62","4.7","1.65"
"2017100000","","2017年度","35000","","山口県","","138","66","73","1.09","***","226.1","809.6","1,352,379","1,292,809","1,230,324","1,165,692","1,099,619","1,035,661","90.0","105.0","100.0","71.7","***","21.7","61.0","82.7","281.7","11.9","54.7","33.4","-0.86","***","-0.67","***","6.84","1.57","13.54","14.19","12.94","0.92","37.34","-0.30","1.53","1.83","-0.26","1.64","1.90","4.11","1.59","4.1","1.60"
"2017100000","","2017年度","36000","","徳島県","","74","35","39","0.59","***","179.4","736.4","723,087","687,680","651,234","613,686","574,474","535,370","91.0","107.3","98.6","74.6","***","20.3","57.7","78.0","283.5","11.4","56.2","32.4","-0.80","***","-0.68","***","6.97","1.51","13.72","14.24","13.28","0.58","38.93","-0.26","1.23","1.50","-0.30","1.32","1.62","4.01","1.57","4.0","1.58"
"2017100000","","2017年度","37000","","香川県","","97","47","50","0.76","***","515.8","962.6","951,400","921,343","888,509","853,054","814,677","776,478","93.6","105.1","102.2","77.1","***","22.0","55.1","77.1","250.8","12.4","56.5","31.1","-0.51","***","-0.47","***","7.63","1.65","12.29","12.75","11.85","0.68","36.37","-0.10","1.77","1.87","-0.13","1.88","2.01","4.46","1.74","4.5","1.76"
