"統計名：","都道府県データ 基礎データ"
"表番号：","0000010104"
"表題：","Ｄ　行政基盤"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｄ　行政基盤 コード","D2101","D2102","D2103","D3101","D310101","D310103","D310108","D3102","D3103","D310303","D3103032","D3103033","D310304","D310308","D310311","D310313","D310401","D3105"
"","","","","","","/Ｄ　行政基盤 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｄ　行政基盤","D2101_財政力指数（都道府県財政）【‐】","D2102_実質収支比率（都道府県財政）【％】","D2103_経常収支比率（都道府県財政）【％】","D3101_歳入決算総額（都道府県財政）【千円】","D310101_地方税（都道府県財政）【千円】","D310103_地方交付税（都道府県財政）【千円】","D310108_国庫支出金（都道府県財政）【千円】","D3102_自主財源額（都道府県財政）【千円】","D3103_歳出決算総額（都道府県財政）【千円】","D310303_民生費（都道府県財政）【千円】","D3103032_老人福祉費（都道府県財政）【千円】","D3103033_児童福祉費（都道府県財政）【千円】","D310304_衛生費（都道府県財政）【千円】","D310308_土木費（都道府県財政）【千円】","D310311_教育費（都道府県財政）【千円】","D310313_公債費（都道府県財政）（目的別歳出内訳）【千円】","D310401_人件費（都道府県財政）【千円】","D3105_地方債現在高（都道府県財政）【千円】"
"2022100000","","2022年度","03000","","岩手県","","0.35368","5.1","94.2","879,040,072","168,825,953","230,301,065","170,000,987","390,374,052","824,677,066","100,149,115","40,734,113","26,392,474","78,572,949","86,750,842","142,349,056","97,957,172","172,198,524","1,304,527,195"
"2022100000","","2022年度","04000","","宮城県","","0.59081","2.8","96.4","1,134,875,591","351,328,218","157,623,377","240,796,546","609,820,922","1,097,820,691","148,536,662","61,335,720","35,850,098","107,757,273","96,240,560","182,717,857","115,332,067","212,534,142","1,482,932,243"
"2022100000","","2022年度","05000","","秋田県","","0.30940","4.5","90.4","658,765,038","128,793,323","206,623,602","129,070,811","228,526,033","639,205,052","91,160,937","40,115,598","16,807,926","36,100,731","84,904,700","108,072,482","98,943,080","134,738,805","1,237,914,752"
"2022100000","","2022年度","06000","","山形県","","0.35964","2.5","94.4","716,149,217","146,823,789","191,067,761","137,163,950","299,672,642","701,825,691","85,707,141","33,589,152","23,256,475","59,216,979","92,868,615","110,601,522","85,925,403","147,149,214","1,163,540,298"
"2022100000","","2022年度","07000","","福島県","","0.51343","1.7","96.0","1,344,287,454","298,171,646","243,718,948","324,675,150","596,410,819","1,306,838,789","150,103,765","57,348,741","33,647,531","110,622,329","242,597,767","211,557,444","109,617,555","243,601,923","1,520,093,566"
"2022100000","","2022年度","08000","","茨城県","","0.62125","3.0","91.9","1,340,774,026","475,095,282","205,077,026","271,938,858","686,685,940","1,309,533,583","203,669,832","79,929,056","50,984,637","112,104,921","144,527,268","270,929,255","145,311,550","311,539,981","2,134,155,931"
"2022100000","","2022年度","09000","","栃木県","","0.61003","4.7","93.3","1,010,319,939","317,897,923","144,824,201","201,289,268","539,990,237","979,908,390","129,985,446","50,116,172","35,217,372","80,874,832","105,262,898","189,378,678","95,902,685","216,977,004","1,153,053,819"
"2022100000","","2022年度","10000","","群馬県","","0.59896","7.0","92.9","992,572,541","313,467,169","150,750,484","211,553,853","520,937,313","945,817,362","136,966,669","57,122,105","36,291,477","84,125,093","80,723,205","172,334,859","97,503,929","213,089,769","1,290,443,745"
"2022100000","","2022年度","11000","","埼玉県","","0.73883","3.2","96.2","2,285,622,612","1,020,723,285","247,911,301","456,796,862","1,219,442,164","2,237,199,908","417,471,052","186,048,551","99,330,605","269,642,635","165,858,445","476,822,773","293,484,484","551,002,113","3,807,713,689"
"2022100000","","2022年度","12000","","千葉県","","0.74500","1.4","95.1","2,240,426,182","942,223,845","213,897,762","416,327,008","1,333,331,738","2,204,550,383","369,307,123","156,655,007","90,182,951","239,001,904","134,041,427","411,469,596","232,880,173","515,035,143","3,015,109,384"
"2022100000","","2022年度","13000","","東京都","","1.06397","7.1","79.5","9,755,045,494","6,186,895,771","0","1,258,540,739","8,183,487,668","9,188,314,158","1,244,742,759","388,627,413","390,204,017","1,179,203,304","809,559,147","1,123,813,655","385,258,915","1,557,624,136","3,817,840,341"
"2022100000","","2022年度","14000","","神奈川県","","0.84500","1.9","98.5","2,539,155,772","1,329,620,686","141,192,579","458,615,638","1,594,871,990","2,492,642,650","542,718,375","243,429,459","132,890,023","223,778,699","111,740,134","398,079,776","369,354,992","505,968,407","3,227,799,513"
"2022100000","","2022年度","15000","","新潟県","","0.45127","3.5","93.2","1,193,390,575","318,980,220","262,798,805","243,617,529","533,367,566","1,166,079,268","142,497,299","71,359,256","24,369,382","81,105,067","157,549,225","169,135,698","164,277,202","225,033,478","2,391,349,252"
"2022100000","","2022年度","16000","","富山県","","0.45346","0.4","93.8","643,086,782","170,733,362","148,940,292","110,097,081","306,639,409","614,212,503","72,220,376","38,078,703","14,956,363","33,494,902","78,254,127","100,355,090","90,635,558","125,954,224","1,139,487,713"
"2022100000","","2022年度","17000","","石川県","","0.48495","0.6","92.3","649,453,271","185,190,790","142,607,174","149,536,646","274,884,521","623,877,954","85,432,134","37,092,852","21,590,055","45,589,590","85,244,297","104,137,409","85,487,339","127,040,516","1,178,336,278"
"2022100000","","2022年度","18000","","福井県","","0.40106","3.5","94.9","554,078,342","145,213,861","140,703,807","120,441,676","212,035,448","535,947,139","62,089,468","25,629,367","16,751,484","32,424,145","78,548,180","97,767,826","74,410,648","112,082,294","805,895,031"
"2022100000","","2022年度","19000","","山梨県","","0.37341","3.8","89.4","613,385,091","131,445,735","151,137,489","132,204,337","263,078,956","583,045,839","70,346,361","28,358,384","16,637,807","51,138,972","98,407,841","90,163,595","70,159,852","114,306,514","917,326,324"
"2022100000","","2022年度","20000","","長野県","","0.50303","1.9","92.4","1,180,398,469","318,859,362","218,391,149","253,019,554","561,168,070","1,156,362,770","147,951,744","70,651,527","22,852,522","69,672,482","155,816,930","198,021,764","125,760,593","243,552,447","1,620,267,865"
"2022100000","","2022年度","21000","","岐阜県","","0.52697","2.0","92.4","981,072,160","302,944,618","196,668,777","217,248,680","405,534,580","961,418,272","135,609,548","64,486,171","27,870,875","89,690,472","114,482,078","190,151,315","104,203,548","228,232,073","1,747,831,790"
"2022100000","","2022年度","22000","","静岡県","","0.67663","2.2","95.4","1,384,631,998","582,858,775","184,828,188","298,942,377","678,699,613","1,359,231,789","218,310,438","104,312,690","48,157,077","115,295,713","137,733,990","250,266,226","193,736,922","296,833,009","2,834,655,390"
"2022100000","","2022年度","23000","","愛知県","","0.86737","4.7","95.7","2,924,785,931","1,389,012,721","133,113,266","565,331,118","1,788,207,946","2,849,306,635","463,213,415","187,321,964","106,312,225","254,808,674","233,984,956","512,732,641","386,500,433","594,630,663","4,665,740,343"
"2022100000","","2022年度","24000","","三重県","","0.56594","4.2","94.3","867,829,220","298,854,033","163,147,042","191,283,899","380,740,426","829,846,648","126,819,668","56,375,637","30,342,343","79,118,637","100,835,553","173,174,248","117,661,746","211,626,016","1,458,417,672"
"2022100000","","2022年度","25000","","滋賀県","","0.53361","0.3","90.3","683,731,180","224,245,283","139,498,924","154,206,944","302,868,945","678,985,794","97,168,591","37,903,697","25,197,417","73,428,397","94,709,774","149,034,955","84,095,045","165,115,518","1,082,258,068"
"2022100000","","2022年度","26000","","京都府","","0.56087","2.3","95.4","1,172,280,594","375,081,078","190,664,240","262,917,524","588,786,506","1,155,652,494","193,067,214","85,991,692","37,917,443","103,889,380","79,047,106","167,685,882","120,686,068","213,834,736","2,036,811,855"
"2022100000","","2022年度","27000","","大阪府","","0.74187","1.4","102.2","3,942,613,114","1,455,218,797","312,117,425","860,263,848","2,470,864,912","3,895,343,951","678,133,747","292,941,513","148,371,740","473,418,429","193,975,322","553,794,491","400,607,932","675,331,983","4,935,953,926"
"2022100000","","2022年度","28000","","兵庫県","","0.61217","2.2","98.7","2,683,182,088","805,042,506","350,362,720","437,131,667","1,590,897,561","2,648,172,795","394,751,080","165,680,794","83,679,530","199,386,622","206,966,920","377,155,424","345,413,201","456,276,949","4,304,315,982"
"2022100000","","2022年度","29000","","奈良県","","0.40953","0.8","89.5","603,570,473","166,178,656","180,067,170","143,264,651","207,408,136","594,644,618","99,610,710","45,690,372","17,896,800","76,209,675","66,837,719","119,938,960","87,139,797","139,805,566","975,030,903"
"2022100000","","2022年度","30000","","和歌山県","","0.31774","5.9","93.0","662,895,167","124,817,570","191,580,591","144,501,505","232,848,470","637,231,552","88,307,577","38,049,846","15,845,803","42,844,912","112,633,020","104,145,804","75,309,342","135,051,737","1,067,379,932"
"2022100000","","2022年度","31000","","鳥取県","","0.27043","6.5","87.4","405,728,488","73,631,922","149,287,439","100,934,276","108,458,709","383,422,974","52,342,502","21,905,914","14,502,841","35,918,980","60,214,680","68,225,188","50,212,379","89,682,115","616,378,144"
"2022100000","","2022年度","32000","","島根県","","0.25373","7.5","90.1","599,893,659","92,761,529","193,204,571","127,772,312","210,175,946","563,955,467","60,962,640","28,346,513","14,651,169","41,052,444","82,455,286","94,254,357","86,768,159","117,302,337","885,995,537"
"2022100000","","2022年度","33000","","岡山県","","0.50803","1.2","95.1","802,008,865","275,034,434","176,983,668","145,505,870","383,949,126","788,998,145","127,612,754","63,395,670","25,733,440","68,588,010","76,978,559","142,766,780","99,193,580","186,159,995","1,312,865,030"
"2022100000","","2022年度","34000","","広島県","","0.58235","1.7","92.9","1,221,698,617","408,277,732","200,581,667","254,673,397","595,485,556","1,193,714,538","187,647,372","86,746,274","40,903,680","118,422,658","133,120,648","185,698,496","149,012,975","232,477,871","2,078,777,869"
"2022100000","","2022年度","35000","","山口県","","0.42898","5.5","87.9","776,771,731","202,726,538","190,133,174","152,687,678","353,223,193","747,765,426","100,515,937","48,540,236","22,633,798","62,606,541","80,312,740","131,509,202","87,398,530","169,287,723","1,156,766,323"
